VideoName,ground_truth,prediction
bPLhV0PGR50.001.mp4,5,5
_RAGzfJnpUE.003.mp4,2,2
h_kjgcJ_bqU.002.mp4,5,3
cxJ0u6r0-pU.004.mp4,5,5
DmYsoYs9jyI.000.mp4,5,5
heE4ZZXwehI.005.mp4,5,2
GiILhJbj5JI.005.mp4,5,5
BLKXsX7-WIg.000.mp4,5,5
-R2SZu3SYgM.004.mp4,5,5
hspeWl-Bip0.003.mp4,5,5
7A7gav98tW4.000.mp4,2,2
C5qRszPK9HY.003.mp4,5,5
bN2IM-rqZlc.001.mp4,5,5
4sCa35TOxgs.001.mp4,2,5
1CYzbX8AaP8.001.mp4,2,2
iQvoDdxt06M.000.mp4,5,5
1m67onLoRwY.000.mp4,5,5
c672aEuUa-g.002.mp4,5,5
-Wqk9eex6bQ.002.mp4,5,5
b6eoqD1J_qU.001.mp4,5,2
54K75EhiTEk.002.mp4,5,5
ciWUq6iQTIE.000.mp4,5,2
9AsxY-x-TjM.000.mp4,5,5
3zAyM2edy1g.002.mp4,5,5
-VTqcHNgH7M.005.mp4,5,5
84Lz5a9yRZg.004.mp4,5,5
hspeWl-Bip0.004.mp4,5,2
Oe7ItP7gS4w.000.mp4,2,2
bLOSPQ8MAC8.001.mp4,5,5
13XlKeC_p3U.001.mp4,5,5
bPLhV0PGR50.000.mp4,5,5
Oe7ItP7gS4w.002.mp4,2,2
1Gn4GX8miWQ.001.mp4,5,5
NvJ4jRPUuS0.001.mp4,2,2
c672aEuUa-g.004.mp4,5,5
gCLfduV3Phw.000.mp4,5,5
-Wqk9eex6bQ.003.mp4,5,5
5IqtX-uq28E.004.mp4,5,5
B2riMsP8LD8.002.mp4,5,5
iQvoDdxt06M.003.mp4,5,5
eI_7SimPnnQ.000.mp4,5,5
8hW6WfYBP18.003.mp4,5,5
A6ZWTfKPLPE.000.mp4,5,5
cxJ0u6r0-pU.003.mp4,5,1
fEZrAGQoh_g.002.mp4,5,2
e3Y7na4SBh4.001.mp4,5,6
8PXQ_5tUv74.001.mp4,5,5
8hW6WfYBP18.000.mp4,5,5
fL8VYpOTLSM.002.mp4,5,5
_65KGQpiabs.000.mp4,2,2
0uCqd5hZcyI.002.mp4,5,5
p-OcwNFQB0U.005.mp4,2,2
gZzB49daFfA.000.mp4,5,0
7LHmNEH65Pk.001.mp4,5,5
B3zFJhrmqwg.001.mp4,5,5
ciWUq6iQTIE.001.mp4,5,4
3HA2W1s4oP8.000.mp4,2,2
3OoQBXWTGfE.001.mp4,5,6
fpyBDfh7qF0.004.mp4,5,5
cBR5cDwwdno.005.mp4,5,3
9-lptN92A68.003.mp4,5,5
5IqtX-uq28E.001.mp4,5,5
BLKXsX7-WIg.001.mp4,5,2
-2qsCrkXdWs.001.mp4,1,2
0uCqd5hZcyI.000.mp4,5,5
heE4ZZXwehI.001.mp4,5,2
h9jIdLBaMEo.003.mp4,5,5
cxJ0u6r0-pU.005.mp4,5,5
dIa0U29hVvU.003.mp4,5,5
bcRPLKygrNk.000.mp4,5,5
50gokPvvMs8.005.mp4,5,0
f3ZbA4UqGKE.005.mp4,5,4
8hW6WfYBP18.002.mp4,5,5
8n6G3V3-Tk8.000.mp4,5,5
3gKpBq-1yG4.004.mp4,2,2
cBR5cDwwdno.003.mp4,5,5
hIxLNK_x_QA.004.mp4,5,6
